CustomScr,PlotRef
1A_1,2000
1A_1,2001
1A_1,2002
1A_1,2003
1B_1,2200
1B_1,2201
1B_1,2202
1B_1,2203
2B_1,2204
2B_1,2205
2B_1,2206
2B_1,2207
1C_1,2700
2C_1,2800
1D_1,2900
1B_2,2300
1B_2,2301
1B_2,2302
1B_2,2303
2B_2,2304
2B_2,2305
2B_2,2306
2B_2,2307
1A_2,2004
1A_2,2005
1A_2,2006
1A_2,2007
1B_3,2400
1B_3,2401
1B_3,2402
1B_3,2403
2B_3,2404
2B_3,2405
2B_3,2406
2B_3,2407
1C_2,2702
2C_2,2802
1D_2,2902
1A_3,2100
1A_3,2101
1A_3,2102
1A_3,2103
1B_4,2500
1B_4,2501
1B_4,2502
1B_4,2503
2B_4,2504
2B_4,2505
2B_4,2506
2B_4,2507
1C_3,2701
2C_3,2801
1D_3,2901
1A_4,2104
1A_4,2105
1A_4,2106
1A_4,2107
1B_5,2600
1B_5,2601
1B_5,2602
1B_5,2603
2B_5,2604
2B_5,2605
2B_5,2606
2B_5,2607
1C_4,2703
2C_4,2803
1D_4,2903
